2024-08-25;200;;;93807
2024-08-24;380;7000000;;93557
2024-08-23;220;;;93177
2024-08-22;400;;;92957
2024-08-21;702;;;92557
2024-08-20;320;;;91855
2024-08-19;270;;;91535
2024-08-18;250;;;91265
2024-08-17;350;;;91015
2024-08-16;350;;;90665
2024-08-15;250;;;90315
2024-08-14;627;;;90065
2024-08-13;250;;;89438
2024-08-12;300;;;89188
2024-08-11;490;;;88888
2024-08-10;660;;;88398
2024-08-09;1020;;;87738
2024-08-08;1422;;;86718
2024-08-07;100;;;85296
2024-08-05;250;;;85196
2024-08-04;200;;;84946
2024-08-03;310;;;84746
2024-08-02;470;;;84436
2024-08-01;230;;;83966
2024-07-31;230;;;83736
2024-07-30;180;;;83506
2024-07-29;300;;;83326
2024-07-28;130;;;83026
2024-07-27;220;;;82896
2024-07-26;150;;;82676
2024-07-25;160;;;82526
2024-07-24;400;;;82366
2024-07-23;430;;;81966
2024-07-22;200;;;81536
2024-07-21;110;;;81336
2024-07-20;200;;;81226
2024-07-19;150;;;81026
2024-07-18;150;;;80876
2024-07-17;250;;;80726
2024-07-16;620;;;80476
2024-07-15;1000;;;79856
2024-07-14;850;;;78856
2024-07-12;1600;84000000;;77006
2024-07-07;140;;;73491
2024-07-06;160;;;73351
2024-07-04;300;;;72891
2024-07-02;150;;;72341
2024-07-01;270;;;72191
2024-06-30;250;;;71921
2024-06-29;250;;;71671
2024-06-28;300;;;71421
2024-06-26;250;;;70771
2024-06-25;500;;;70521
2024-06-23;150;;;69971
2024-06-22;;;;
2024-06-21;420;;;69551
